event_name,tweet_id,image_id,tweet_text,image_path,label
hurricane_irma,909988432415416320,909988432415416320_0,RT @Jeff_Piotrowski: Blue cool tropical drink thinking about hurricane Irma. I need to find the next #blueshed https://t.co/xjsNAPs1qY,data_image/hurricane_irma/19_9_2017/909988432415416320_0.jpg,not_humanitarian
hurricane_harvey,907962863796584448,907962863796584448_0,Great masterclass from Benoit Blin at the Harvey and Brockless Meet the Makers. https://t.co/B53AaTcSjN,data_image/hurricane_harvey/13_9_2017/907962863796584448_0.jpg,not_humanitarian
mexico_earthquake,913272453853413376,913272453853413376_0,IndyCar schedule release delayed by Mexico City earthquake - Indianapolis Star https://t.co/9GtC2OBCTb https://t.co/aKzrRxyOsy,data_image/mexico_earthquake/28_9_2017/913272453853413376_0.jpg,not_humanitarian
hurricane_irma,905715502793625600,905715502793625600_0,If Hurricane Irma Forces Walt Disney World To Close—They Have A Plan https://t.co/TrfI0Bcu8g https://t.co/a4gZXMlHYK,data_image/hurricane_irma/7_9_2017/905715502793625600_0.jpg,not_humanitarian
srilanka_floods,874423702049488896,874423702049488896_0,U.S. Earns Moral Victory At Azteca Holding Mexico To A Draw -https://t.co/wkOuF7qTWX https://t.co/jkHDJc47Yf,data_image/srilanka_floods/13_6_2017/874423702049488896_0.jpg,not_humanitarian
srilanka_floods,877227904576475141,877227904576475141_0,"Instagram post by Katrin.Mora.B â€¢ Jun 19, 2017 Barcis, Italy O250 worlds over the weekend https://t.co/NHWWzBaGoK https://t.co/BGBMEPVgPz",data_image/srilanka_floods/20_6_2017/877227904576475141_0.jpg,not_humanitarian
hurricane_harvey,904468203702714369,904468203702714369_0,#Harvey hits Nantucket https://t.co/vgKZP0PfpL,data_image/hurricane_harvey/3_9_2017/904468203702714369_0.jpg,not_humanitarian
hurricane_irma,905625434955673601,905625434955673601_0,RT @MiamiHerald: Brickell residents aren’t taking a chance with Hurricane Irma https://t.co/baaPVfiVrg https://t.co/Eq0XgeMvTQ,data_image/hurricane_irma/7_9_2017/905625434955673601_0.jpg,not_humanitarian
hurricane_maria,928948351671947264,928948351671947264_0,Sunset from swimming pool in Puerto Rico https://t.co/kmTnLS46vW,data_image/hurricane_maria/10_11_2017/928948351671947264_0.jpg,not_humanitarian
iraq_iran_earthquake,930804684155219968,930804684155219968_0,"Photo-op rejected, hasbarah talking point reinforced https://t.co/xVaELxNJLa https://t.co/7xc4cy67JO",data_image/iraq_iran_earthquake/15_11_2017/930804684155219968_0.jpg,not_humanitarian
hurricane_harvey,905405282653790209,905405282653790209_0,"Retailer Francesca's shares sink on profit warning, comments on Harvey impact https://t.co/jxhuhQb5av",data_image/hurricane_harvey/6_9_2017/905405282653790209_0.jpg,not_humanitarian
hurricane_irma,909410131623911425,909410131623911425_0,Hurricane Irma ‚Äì Social Media ad gouging https://t.co/UPcDZeLViL https://t.co/ExQPKd6STw,data_image/hurricane_irma/17_9_2017/909410131623911425_0.jpg,not_humanitarian
hurricane_irma,910127252591071232,910127252591071232_0,Getting famous on the internet? ·Ω£1 #irma #keywest #beforethestorm https://t.co/XBJvxbKLgJ,data_image/hurricane_irma/19_9_2017/910127252591071232_0.jpg,not_humanitarian
hurricane_maria,928685731328933893,928685731328933893_0,Solar Lamps for Puerto Rico made by middle-schoolers https://t.co/lzTXfBpiZU https://t.co/pvHqbPhNej,data_image/hurricane_maria/9_11_2017/928685731328933893_0.jpg,not_humanitarian
hurricane_maria,928985264638320640,928985264638320640_0,Beautiful Things Puerto Rico Raju Dahat on Facebook Nice https://t.co/bagKEmGdIz,data_image/hurricane_maria/10_11_2017/928985264638320640_0.jpg,not_humanitarian
hurricane_maria,927769335489208321,927769335489208321_0,RT @NationofChange: Puerto Rico suffers while defending against #DisasterCapitalism: https://t.co/aGVXmiVsAo https://t.co/0nvyeMbESZ,data_image/hurricane_maria/7_11_2017/927769335489208321_0.jpg,not_humanitarian
hurricane_irma,909877528407543809,909877528407543809_0,A pop-up shipping container shop will attract customers because of its uniqueness and innovative design. #irma https://t.co/jWmT9sKRYs,data_image/hurricane_irma/18_9_2017/909877528407543809_0.jpg,not_humanitarian
hurricane_harvey,908049934422888449,908049934422888449_0,How did Hurricane Harvey get so strong? https://t.co/AbWNxAu93W https://t.co/7EsnB1iI49,data_image/hurricane_harvey/13_9_2017/908049934422888449_0.jpg,not_humanitarian
california_wildfires,920699752391610384,920699752391610384_0,"California wildfires: Is PG&amp;E, the US' largest private #utility, villain or scapegoat? #energy https://t.co/CycesKoUbT",data_image/california_wildfires/18_10_2017/920699752391610384_0.jpg,not_humanitarian
hurricane_harvey,907621073809702912,907621073809702912_0,Kitten Saved From Harvey Floodwaters Adopted By One Of His Rescuers https://t.co/HleERqQ5AV https://t.co/asPWMCkvXv,data_image/hurricane_harvey/12_9_2017/907621073809702912_0.jpg,not_humanitarian
mexico_earthquake,910765741993005058,910765741993005058_0,Delaware Restaurant Owner Recounts Moment 7.1 Earthquake Shook Mexico - https://t.co/lwpgGDlbsd https://t.co/8Nq9nLvzGc,data_image/mexico_earthquake/21_9_2017/910765741993005058_0.jpg,not_humanitarian
hurricane_harvey,910161725327994880,910161725327994880_0,#bethechange #mcmichaelmiddleschool raising funds for Hurricane Harvey's displaced foster children. https://t.co/iQr3y3bgzx,data_image/hurricane_harvey/19_9_2017/910161725327994880_0.jpg,not_humanitarian
hurricane_maria,922640178459525120,922640178459525120_0,@realDonaldTrump Lest You Forget! Puerto Rico: U.S= US https://t.co/KIlLlFnjM8,data_image/hurricane_maria/24_10_2017/922640178459525120_0.jpg,not_humanitarian
hurricane_harvey,906446715070189568,906446715070189568_0,RT @KaroleSicairos: father Harvey has no chill ... á½ 2á½ 2 https://t.co/3EFv93AUYI,data_image/hurricane_harvey/9_9_2017/906446715070189568_0.jpg,not_humanitarian
